commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
321_Wood_products,89,13,34,36,3,175,7033,69,48,35,2338,331,1,7,36,37,93,158,214,101,38,91,212,99,851,254,25,7,80,1,133,3,82,5,12,1,18,12,50,6,14,0,34,222,12,0,2865,254,400,-1593,0,0,0,0,0,0,0,0,0,13,16,136,14,13054,2160
322_Paper_products,76,126,4,36,1,37,445,3076,317,336,95,6518,2437,163,1061,358,528,72,506,199,231,304,234,36,158,540,398,1090,125,3,2059,366,36,40,198,15,73,66,219,21,45,332,194,1664,0,0,0,119,1078,-1658,0,0,0,0,0,0,0,0,0,9,79,31,408,23702,1203
323_Printing_and_related_support_activities,2,9,1,2,0,32,39,545,5,100,3,12,847,3,62,3,9,18,211,5,97,10,333,39,2,8,107,133,96,1,1917,1256,37,36,347,49,75,190,85,35,24,29,270,390,0,0,0,62,80,-42,0,0,0,0,0,0,0,0,0,18,172,22,628,7923,491
324_Petroleum_and_coal_products,783,175,49,185,52,774,1745,185,54,42,85,193,21,1273,333,38,124,230,187,176,69,60,130,98,21,61,152,593,2149,8,178,143,391,21,206,41,164,161,211,30,66,2,242,12632,0,0,0,101,826,-2192,0,0,0,0,0,0,0,0,0,25,731,325,1134,14116,11366
325_Chemical_products,2868,126,106,252,80,179,286,585,3366,325,301,1074,332,647,9239,2795,546,824,812,309,300,555,413,199,135,456,158,116,207,0,224,25,290,5,128,38,152,88,1822,49,66,103,416,12162,193,0,0,328,3555,-1543,0,0,0,0,0,0,0,0,0,25,689,474,1106,33291,14696
326_Plastics_and_rubber_products,307,48,18,155,14,115,978,935,268,355,118,386,130,49,850,657,279,143,501,655,472,559,1645,172,490,621,136,289,497,1,138,31,246,182,247,5,154,27,533,22,53,71,428,2786,44,0,0,189,583,-580,0,0,0,0,0,0,0,0,0,13,134,106,177,14408,3022
327_Nonmetallic_mineral_products,16,12,57,74,78,295,8831,1184,49,7,179,29,4,49,260,72,1657,228,255,167,291,256,718,81,105,112,36,117,166,0,214,8,161,26,47,4,44,46,103,16,29,43,139,975,0,0,0,163,444,-628,0,0,0,0,0,0,0,0,0,18,15,224,81,16603,954
331_Primary_metals,6,25,110,256,353,88,2887,40,9,19,242,96,60,47,567,111,150,12549,12013,5031,1156,3337,7009,1820,435,1295,1,3,129,0,64,2,48,4,11,1,13,6,38,4,5,9,17,149,2,0,0,294,1756,-5689,0,0,0,0,0,0,0,0,0,6,137,61,5,50277,-3488
332_Fabricated_metal_products,116,432,225,299,37,411,15148,2986,61,105,499,180,36,216,877,268,220,1165,3411,2696,1307,887,4211,1663,573,408,30,192,555,2,308,8,226,14,275,14,188,30,163,18,25,39,556,1250,2136,0,0,469,1632,-1089,0,433,0,0,13,0,0,98,0,28,1017,271,84,42478,4942
333_Machinery,344,53,137,442,110,261,1576,133,159,39,249,124,244,49,446,96,106,690,609,2638,217,228,745,599,20,36,65,114,222,3,323,52,180,184,407,2,195,53,451,22,19,4,699,1135,24452,0,0,570,6278,-2500,0,260,0,0,119,0,0,354,0,13,264,226,281,14131,30669
334_Computer_and_electronic_products,1,8,21,4,1,56,525,7,17,2,13,19,2,15,93,11,14,97,72,290,9795,320,534,1874,4,140,585,35,151,1,723,61,34,65,142,163,55,52,16,6,4,0,436,3918,9250,0,0,315,4296,-3091,0,1422,0,0,445,0,0,344,0,3,2115,46,55,18682,16899
335_Electrical_equipment_appliances_and_components,37,20,108,73,18,285,4274,19,10,18,156,12,3,11,45,15,55,434,213,1495,853,1871,665,164,10,104,28,74,267,0,186,18,169,43,89,5,73,42,61,14,19,2,199,5760,3411,0,0,352,1093,-972,0,65,0,0,25,0,0,82,0,13,135,227,66,12698,9817
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,48,79,56,133,4,12,111,30,0,6,170,1,2,1,15,22,16,222,145,1785,100,114,22016,648,6,11,115,2594,508,2,6,9,6,216,68,9,53,1,6,2,2,0,2350,25268,14765,0,0,415,5064,-7100,0,240,0,0,53,0,0,820,0,6,141,32,71,31953,39526
3364OT_Other_transportation_equipment,2,123,4,12,0,4,4,1,1,0,9,1,0,0,1,1,0,37,29,2,1,0,53,7436,0,11,20,0,1857,0,18,22,7,33,70,0,48,5,29,23,3,0,59,1858,4130,0,0,459,4692,-1221,0,2658,0,0,628,0,0,86,0,4,6918,21,15,16882,13290
337_Furniture_and_related_products,0,1,7,6,0,38,1477,2,1,0,123,1,0,1,3,1,2,20,3,2,374,3,32,49,116,3,0,1,15,0,28,0,16,1,1,0,3,3,7,1,2,0,5,4850,2328,0,0,140,50,-171,0,16,0,0,35,0,0,148,0,2,11,27,13,2405,7395
339_Miscellaneous_manufacturing,10,24,6,28,1,35,72,21,56,712,29,21,96,7,71,52,74,79,74,126,122,67,74,49,41,1170,57,105,74,1,52,127,55,34,354,0,76,124,1287,69,35,52,732,6377,1707,0,0,213,776,-1513,0,16,0,0,8,0,0,81,0,5,136,30,574,7093,7666
42_Wholesale_trade,2343,298,96,328,60,643,4183,5645,1310,1713,644,1113,440,821,1818,626,489,1486,1321,1492,1249,785,2773,783,360,769,847,814,1542,6,575,209,337,99,371,56,196,177,919,90,117,1484,827,26029,5390,0,250,686,4592,3112,0,251,0,0,70,0,0,158,0,37,1025,336,1241,44892,40537
44RT_Retail_trade,354,30,27,58,9,187,2060,724,137,83,376,149,34,34,374,119,121,168,193,255,173,136,900,117,158,115,56,219,412,2,92,30,61,20,74,0,40,38,166,14,24,6,166,106357,1018,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8516,107400
481_Air_transportation,28,70,36,27,1,16,135,248,102,126,61,123,90,37,310,161,94,145,384,174,192,79,133,147,48,86,135,54,105,5,324,680,20,54,574,8,123,79,198,14,15,11,51,5569,124,0,0,10,988,-882,0,10,0,0,3,0,0,3,0,133,356,10,69,6071,5824
482_Rail_transportation,328,27,18,299,15,333,1270,1029,177,69,299,390,111,73,521,129,405,1277,343,211,91,137,609,108,93,141,48,117,295,0,129,26,51,30,80,3,61,29,105,9,16,176,99,2419,445,0,0,120,1017,-55,0,17,0,0,4,0,0,17,0,179,216,73,110,10352,3984
483_Water_transportation,86,9,16,72,14,93,269,220,30,11,41,42,9,286,96,21,64,242,40,22,12,14,33,13,7,23,14,28,68,0,17,8,22,2,11,4,9,8,23,58,5,19,17,991,29,0,13,22,1406,-92,0,1,0,0,0,0,0,1,0,53,179,21,45,2396,2371
484_Truck_transportation,429,64,17,200,52,271,1954,1627,257,270,113,278,135,98,368,105,303,742,337,237,190,143,480,130,62,217,252,381,4471,19,197,81,248,52,282,6,224,97,309,25,29,271,169,4365,610,0,24,143,803,0,0,18,0,0,5,0,0,23,0,217,447,96,216,17168,5990
485_Transit_and_ground_passenger_transportation,4,32,13,26,0,17,81,119,62,82,32,79,38,6,146,74,59,113,159,77,151,73,81,112,37,61,184,49,153,1,228,98,16,21,553,3,50,22,116,19,7,0,55,3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,3,820,4158,3818
486_Pipeline_transportation,10,2,127,2,0,378,12,2,1,1,1,2,0,2495,17,0,2,7,3,2,1,1,1,1,0,1,2,8,44,0,1,1,5,0,3,1,2,2,3,0,1,0,3,169,0,0,0,7,63,0,0,0,0,0,0,0,0,0,0,0,10,4,14,3175,239
487OS_Other_transportation_and_support_activities,0,1,1,0,13,2,132,3,1,2,0,3,4,1,7,1,1,1,3,3,9,1,3,12,0,1,929,1146,8545,47,9,243,51,19,24,1,4,2,9,90,95,0,31,280,0,0,0,0,636,-30,0,0,0,0,0,0,0,0,0,58,259,6,3,11779,885
493_Warehousing_and_storage,493,1,0,1,0,1,2,2,1,0,0,1,3,3,19,0,0,0,13,0,4,0,2,1,0,0,266,1704,409,25,21,30,38,11,76,0,40,7,22,5,5,11,13,43,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,48,16,96,3392,122
511_Publishing_industries_except_internet_includes_software,21,2,1,1,0,9,19,6,3,9,2,9,36,2,11,3,3,19,11,8,18,5,6,11,10,5,22,8,18,3,272,101,17,12,433,18,28,329,189,27,15,0,148,5524,0,848,0,57,301,-160,0,0,0,0,0,0,0,0,0,2,13,3,986,2872,6570
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,3,0,9,1,2,2,0,4,1,3,0,1,2,0,5,9,1,6,0,0,0,1,11,18,0,2184,12,0,0,1,4,1,54,33,0,1,0,33,2662,0,2198,0,-60,544,-9,0,0,0,0,0,0,0,0,0,4,57,0,34,2500,5335
513_Broadcasting_and_telecommunications,137,16,16,6,2,77,452,74,49,80,28,42,68,23,90,37,43,68,122,138,147,62,73,111,21,57,702,760,525,5,3583,1167,171,91,945,1856,255,161,297,58,23,70,350,13184,2181,950,0,0,312,0,0,0,0,0,0,0,0,0,0,8,252,28,583,13929,16627
514_Data_processing_internet_publishing_and_other_information_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,260,318,0,0,449,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,498,35,1653,3669,0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,1138,95,114,175,12,288,1558,545,163,312,188,139,117,262,400,132,209,322,443,422,424,198,391,229,88,202,833,2940,1537,11,551,6720,2185,83,1388,361,297,114,611,194,269,492,275,10474,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,99,620,13,2042,30198,10527
523_Securities_commodity_contracts_and_investments,0,1,3,7,0,31,2,22,3,5,6,7,4,9,18,6,5,9,9,13,16,3,14,9,3,13,5,13,8,0,29,2562,16,4,16,216,8,14,5,1,1,2,10,3494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,36,3172,3495
524_Insurance_carriers_and_related_activities,475,40,29,50,15,56,739,127,23,30,47,23,54,31,66,21,46,120,98,49,33,25,77,36,41,20,342,728,929,3,102,8080,1732,121,227,17,103,68,561,117,90,129,306,17071,0,0,436,0,191,-11,0,0,0,0,0,0,0,0,0,5,6,54,364,16453,17687
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,2527,105,79,9,0,54,0,13,0,0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817,2010
531_Real_estate,2078,67,0,384,4,137,731,201,127,161,68,183,99,157,515,83,139,75,307,241,367,154,102,118,71,136,737,3919,638,39,961,1441,4271,246,1777,126,346,1091,1473,309,316,675,1043,99320,0,0,4777,0,0,0,0,0,0,0,0,0,0,0,0,51,94,51,551,26861,104097
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,197,88,3823,74,25,72,642,129,39,61,60,46,56,39,114,28,68,103,106,89,88,53,307,102,29,38,569,432,1356,5,279,791,231,78,679,297,171,117,275,72,58,54,282,2201,0,0,0,0,1388,0,0,0,0,0,0,0,0,0,0,27,229,30,343,12849,3589
5411_Legal_services,40,18,31,7,2,34,3184,23,17,27,15,20,22,9,102,12,23,63,92,59,51,35,34,100,8,29,260,122,143,9,98,523,331,39,1033,200,63,30,310,27,15,58,173,5479,0,0,803,0,108,0,0,0,0,0,0,0,0,0,0,3,83,17,454,8051,6390
5412OP_Miscellaneous_professional_scientific_and_technical_services,317,116,94,133,5,194,5712,2018,209,316,129,221,189,322,2257,254,210,394,462,348,276,340,604,346,116,474,2096,4193,1115,20,1370,3366,1376,217,2885,1170,345,336,728,341,284,478,804,3301,0,12112,58,0,558,-45,0,8415,0,0,8105,0,0,689,0,42,619,442,1469,39748,33194
5415_Computer_systems_design_and_related_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,387,141,0,0,778,746,0,0,0,0,0,0,0,0,0,2410,0,0,0,0,0,0,0,0,0,0,0,226,0,15,393,55,301,2908,2636
55_Management_of_companies_and_enterprises,0,8,195,204,222,11,137,2929,351,650,90,457,206,177,1289,348,268,536,657,1167,892,362,805,629,155,214,1605,4099,480,0,393,404,55,35,162,0,272,35,478,131,84,1,284,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,4,9,3,21493,362
561_Administrative_and_support_services,200,62,53,100,39,82,681,206,64,99,42,89,89,81,271,54,77,171,172,161,203,85,141,178,35,66,969,447,408,46,268,1331,245,83,570,130,153,132,679,98,208,90,267,2823,0,0,0,0,106,-1,0,0,0,0,0,0,0,0,0,31,420,144,430,10652,2927
562_Waste_management_and_remediation_services,235,4,40,49,1,46,300,117,70,17,22,122,11,56,126,32,38,134,75,34,30,34,61,31,16,18,127,252,214,0,61,264,261,32,133,5,633,161,406,32,73,157,157,456,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,36,43,160,4938,464
61_Educational_services,0,5,0,4,0,1,9,5,8,4,4,4,3,3,43,9,9,21,27,7,11,9,18,5,12,3,7,47,9,0,4,17,3,2,15,0,2,8,14,2,1,8,134,12585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1065,3,76,1644,12586
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,5,400,688,24315
622HO_Hospitals_and_nursing_and_residential_care_facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,32,30572
624_Social_assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442
711AS_Performing_arts_spectator_sports_museums_and_related_activities,1,1,2,1,0,2,35,6,2,3,2,3,3,1,11,2,3,3,8,9,17,4,5,18,1,4,30,115,9,1,372,64,9,0,222,65,1,45,11,931,18,388,37,2988,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1,0,2515,3148
713_Amusements_gambling_and_recreation_industries,0,0,0,0,0,0,7,1,0,0,0,1,0,0,2,0,0,1,1,1,3,1,1,3,0,1,5,19,47,0,64,6,2,0,36,24,0,7,2,1,3,62,6,4200,0,0,0,0,131,-18,0,0,0,0,0,0,0,0,0,1,12,0,0,325,4313
721_Accommodation,4,23,11,9,0,21,83,56,39,62,19,45,26,3,108,54,29,74,102,54,206,53,83,152,18,47,248,55,40,4,254,139,16,35,834,20,76,14,142,20,8,0,57,4346,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,369,3,341,4057,4350
722_Food_services_and_drinking_places,26,28,59,19,2,53,787,144,51,87,38,66,77,33,313,71,67,86,235,238,414,110,132,512,34,99,660,384,285,2,312,814,164,51,704,110,113,183,407,106,26,0,376,38487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,110,22,123,8738,38487
81_Other_services_except_government,255,111,15,64,23,195,760,387,84,103,100,113,78,23,228,82,95,98,202,149,303,157,549,171,46,107,1103,1170,1429,3,435,758,363,101,1128,475,342,218,937,169,277,545,1045,41232,0,0,0,0,35,-22,0,0,0,0,0,0,0,0,0,35,198,24,579,15833,41245
GFE_Federal_government_enterprises,9,5,7,12,0,93,77,85,27,79,11,23,38,17,51,14,19,32,48,55,68,26,66,63,12,34,171,697,101,3,444,1663,442,65,436,10,225,84,348,14,24,39,241,1644,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,7,169,8,367,6532,1792
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82344,0,0,24336,0,0,0,0,0,0,0,0,0,0,106681
GSLE_State_and_local_government_enterprises,0,3,4,10,0,5,23,8,1,1,4,17,1,7,24,1,3,36,2,2,2,1,1,2,1,6,46,63,136,1,17,25,54,8,14,1,9,19,27,5,11,22,38,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,2,30,736,1837
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102279,0,0,0,0,0,0,0,102279
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,4,23,6,3,1,6,198,66,17,16,7,11,11,6,160,9,11,14,28,62,187,53,37,91,6,114,93,63,1672,0,669,451,26,9,90,39,15,10,34,43,4,3,78,2572,0,0,0,-54,3977,-13675,0,0,0,0,0,0,0,0,0,247,2839,3,3,7535,-7180
T005_Total_Intermediate,30067,4889,6856,6552,1284,10697,74291,78623,17343,20595,10229,15385,6685,21305,26959,8264,8934,30920,26195,22030,21634,12164,48926,19797,5170,9265,17093,35819,35644,483,22242,38418,24319,2773,20017,7136,6107,5384,18395,4059,3396,20780,16124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738,24981,5346,29135,884450,0
